id,season_id,season_startDate,season_endDate,season_currentMatchday,utcDate,status,matchday,stage,group,lastUpdated,score_winner,score_duration,score_fullTime_homeTeam,score_fullTime_awayTeam,score_halfTime_homeTeam,score_halfTime_awayTeam,score_extraTime_homeTeam,score_extraTime_awayTeam,score_penalties_homeTeam,score_penalties_awayTeam,homeTeam_id,homeTeam_name,awayTeam_id,awayTeam_name,referees_0_id,referees_0_name,referees_0_nationality,referees_1_id,referees_1_name,referees_1_nationality,referees_2_id,referees_2_name,referees_2_nationality,referees_3_id,referees_3_name,referees_3_nationality,referees_4_id,referees_4_name,referees_4_nationality,referees_5_id,referees_5_name,referees_5_nationality,referees_6_id,referees_6_name,referees_6_nationality,referees_7_id,referees_7_name,referees_7_nationality,referees_8_id,referees_8_name,referees_8_nationality
200000,1,2018-06-14,2018-07-15,3,2018-06-14T15:00:00Z,FINISHED,1.0,GROUP_STAGE,Group A,2018-06-22T10:00:01Z,HOME_TEAM,REGULAR,5,0,2,0,,,,,808,Russia,801,Saudi Arabia,49485,Néstor Pitana,,49486,Juan Pablo Belatti,,49487,Hernán Maidana,,49488,Sandro Ricci,,11448,Emerson Augusto De Carvalho,,11054,Massimiliano Irrati,,49527,Mauro Vigliano,,49528,Carlos Astroza,,11116,Daniele Orsato,
200001,1,2018-06-14,2018-07-15,3,2018-06-15T12:00:00Z,FINISHED,1.0,GROUP_STAGE,Group A,2018-06-22T10:00:01Z,AWAY_TEAM,REGULAR,0,1,0,0,,,,,825,Egypt,758,Uruguay,9558,Björn Kuipers,,9559,Sander van Roekel,,9560,Erwin Zeinstra,,9371,Milorad Mažić,,9372,Milovan Ristić,,43899,Danny Makkelie,,43884,Cyril Gringore,,43854,Paweł Gil,,9374,Clément Turpin,
200006,1,2018-06-14,2018-07-15,3,2018-06-15T15:00:00Z,FINISHED,1.0,GROUP_STAGE,Group B,2018-06-22T10:00:01Z,AWAY_TEAM,REGULAR,0,1,0,0,,,,,815,Morocco,840,Iran,30687,Cüneyt Çakιr,,30688,Bahattin Duran,,30689,Tarık Ongun,,43938,Sergey Karasev,,43939,Anton Averianov,,43878,Felix Zwayer,,15746,Bastian Dankert,,43876,Mark Borsch,,55667,Jair Marrufo,
200007,1,2018-06-14,2018-07-15,3,2018-06-15T18:00:00Z,FINISHED,1.0,GROUP_STAGE,Group B,2018-06-22T10:00:01Z,DRAW,REGULAR,3,3,2,1,,,,,765,Portugal,760,Spain,10988,Gianluca Rocchi,,11056,Elenito Di Liberatore,,11058,Mauro Tonolini,,49525,Ryūji Satō,,55658,Toru Sagara,,11054,Massimiliano Irrati,,11075,Paolo Valeri,,49528,Carlos Astroza,,11116,Daniele Orsato,
200012,1,2018-06-14,2018-07-15,3,2018-06-16T10:00:00Z,FINISHED,1.0,GROUP_STAGE,Group C,2018-06-22T10:00:02Z,HOME_TEAM,REGULAR,2,1,0,0,,,,,773,France,779,Australia,29474,Andrés Cunha,,28776,Nicolás Tarán,,28832,Mauricio Espinosa,,23895,Julio Bascuñán,,55659,Christian Schiemann,,49527,Mauro Vigliano,,49487,Hernán Maidana,,15713,Tiago Martins,,55667,Jair Marrufo,
200018,1,2018-06-14,2018-07-15,3,2018-06-16T13:00:00Z,FINISHED,1.0,GROUP_STAGE,Group D,2018-06-22T10:00:02Z,DRAW,REGULAR,1,1,1,1,,,,,762,Argentina,1066,Iceland,43888,Szymon Marciniak,,43889,Paweł Sokolnicki,,43890,Tomasz Listkiewicz,,23062,Wilmar Roldán,,23046,Alexander Guzmán,,55724,Mark Geiger,,55725,Joe Fletcher,,43854,Paweł Gil,,18127,Gery Vargas,
200013,1,2018-06-14,2018-07-15,3,2018-06-16T16:00:00Z,FINISHED,1.0,GROUP_STAGE,Group C,2018-06-22T10:00:02Z,AWAY_TEAM,REGULAR,0,1,0,0,,,,,832,Peru,782,Denmark,55660,Bakary Papa Gassama,,55661,Jean-Claude Birumushahu,,55662,Abdelhak Etchiali,,55663,Mehdi Abid Charef,,55664,Anouar Hmila,,43878,Felix Zwayer,,15746,Bastian Dankert,,43876,Mark Borsch,,43899,Danny Makkelie,
200019,1,2018-06-14,2018-07-15,3,2018-06-16T19:00:00Z,FINISHED,1.0,GROUP_STAGE,Group D,2018-06-22T10:00:02Z,HOME_TEAM,REGULAR,2,0,1,0,,,,,799,Croatia,776,Nigeria,49488,Sandro Ricci,,11448,Emerson Augusto De Carvalho,,11468,Marcelo Carvalho Van Gasse,,43869,Antonio Matéu,,134,Pau Cebrián,,11116,Daniele Orsato,,11412,Wilton Pereira Sampaio,,49487,Hernán Maidana,,43540,Artur Soares Dias,
200024,1,2018-06-14,2018-07-15,3,2018-06-17T12:00:00Z,FINISHED,1.0,GROUP_STAGE,Group E,2018-06-22T10:00:02Z,AWAY_TEAM,REGULAR,0,1,0,0,,,,,793,Costa Rica,780,Serbia,55961,Malang Diédhiou,,55962,Djibril Camara,,55963,El Hadji Malick Samba,,55964,Bamlak Tessema,,43940,Tikhon Kalugin,,9374,Clément Turpin,,43854,Paweł Gil,,43884,Cyril Gringore,,43540,Artur Soares Dias,
200030,1,2018-06-14,2018-07-15,3,2018-06-17T15:00:00Z,FINISHED,1.0,GROUP_STAGE,Group F,2018-06-22T10:00:02Z,AWAY_TEAM,REGULAR,0,1,0,1,,,,,759,Germany,769,Mexico,55970,Alireza Faghani,,55971,Reza Sokhandan,,55972,Mohammadreza Mansouri,,55973,Mohammed Abdulla Hassan,,55974,Mohamed Ahmed Al Hammadi,,11054,Massimiliano Irrati,,11412,Wilton Pereira Sampaio,,49528,Carlos Astroza,,55724,Mark Geiger,
200025,1,2018-06-14,2018-07-15,3,2018-06-17T18:00:00Z,FINISHED,1.0,GROUP_STAGE,Group E,2018-06-22T10:00:02Z,DRAW,REGULAR,1,1,1,0,,,,,764,Brazil,788,Switzerland,56007,César Ramos,,56008,Marvin Torrentera,,56009,Miguel Ángel Hernández,,56010,John Pitti,,56011,Gabriel Victoria,,11075,Paolo Valeri,,49527,Mauro Vigliano,,11056,Elenito Di Liberatore,,10988,Gianluca Rocchi,
200031,1,2018-06-14,2018-07-15,3,2018-06-18T12:00:00Z,FINISHED,1.0,GROUP_STAGE,Group F,2018-06-22T10:00:02Z,HOME_TEAM,REGULAR,1,0,0,0,,,,,792,Sweden,772,Korea Republic,56016,Joel Aguilar,,56017,Juan Zumba,,56018,Juan Carlos Mora,,56019,Norbert Hauata,,56020,Bertrand Brial,,49527,Mauro Vigliano,,56026,Abdelrahman Al Jassim,,56027,Taleb Salem Al Marri,,11116,Daniele Orsato,
200036,1,2018-06-14,2018-07-15,3,2018-06-18T15:00:00Z,FINISHED,1.0,GROUP_STAGE,Group G,2018-06-22T10:00:03Z,HOME_TEAM,REGULAR,3,0,0,0,,,,,805,Belgium,1836,Panama,56021,Janny Sikazwe,,56022,Jerson dos Santos,,33897,Zakhele Siwela,,49525,Ryūji Satō,,55658,Toru Sagara,,15746,Bastian Dankert,,43878,Felix Zwayer,,9559,Sander van Roekel,,43899,Danny Makkelie,
200037,1,2018-06-14,2018-07-15,3,2018-06-18T18:00:00Z,FINISHED,1.0,GROUP_STAGE,Group G,2018-06-22T10:00:03Z,AWAY_TEAM,REGULAR,1,2,1,1,,,,,802,Tunisia,770,England,23062,Wilmar Roldán,,23046,Alexander Guzmán,,22961,Christian de la Cruz,,56024,Ricardo Montero,,56063,Hiroshi Yamauchi,,49488,Sandro Ricci,,18127,Gery Vargas,,11448,Emerson Augusto De Carvalho,,15713,Tiago Martins,
200042,1,2018-06-14,2018-07-15,3,2018-06-19T12:00:00Z,FINISHED,1.0,GROUP_STAGE,Group H,2018-06-22T10:00:03Z,AWAY_TEAM,REGULAR,1,2,1,1,,,,,818,Colombia,766,Japan,9346,Damir Skomina,,9347,Jure Praprotnik,,9348,Robert Vukan,,55663,Mehdi Abid Charef,,55664,Anouar Hmila,,43899,Danny Makkelie,,15746,Bastian Dankert,,9559,Sander van Roekel,,43878,Felix Zwayer,
200043,1,2018-06-14,2018-07-15,3,2018-06-19T15:00:00Z,FINISHED,1.0,GROUP_STAGE,Group H,2018-06-22T10:00:03Z,AWAY_TEAM,REGULAR,1,2,0,1,,,,,794,Poland,804,Senegal,56071,Nawaf Shukralla,,56072,Yaser Tulefat,,56027,Taleb Salem Al Marri,,56026,Abdelrahman Al Jassim,,55974,Mohamed Ahmed Al Hammadi,,43540,Artur Soares Dias,,15713,Tiago Martins,,49487,Hernán Maidana,,11412,Wilton Pereira Sampaio,
200002,1,2018-06-14,2018-07-15,3,2018-06-19T18:00:00Z,FINISHED,2.0,GROUP_STAGE,Group A,2018-06-22T10:00:01Z,HOME_TEAM,REGULAR,3,1,0,0,,,,,808,Russia,825,Egypt,56073,Enrique Cáceres,,56074,Eduardo Cardozo,,56075,Juan Zorrilla,,30687,Cüneyt Çakιr,,30688,Bahattin Duran,,11054,Massimiliano Irrati,,49527,Mauro Vigliano,,49528,Carlos Astroza,,43888,Szymon Marciniak,
200008,1,2018-06-14,2018-07-15,3,2018-06-20T12:00:00Z,FINISHED,2.0,GROUP_STAGE,Group B,2018-06-22T10:00:01Z,HOME_TEAM,REGULAR,1,0,1,0,,,,,765,Portugal,815,Morocco,55724,Mark Geiger,,55725,Joe Fletcher,,56076,Frank Anderson,,43938,Sergey Karasev,,43939,Anton Averianov,,43878,Felix Zwayer,,55667,Jair Marrufo,,56085,Simon Lount,,15746,Bastian Dankert,
200003,1,2018-06-14,2018-07-15,3,2018-06-20T15:00:00Z,FINISHED,2.0,GROUP_STAGE,Group A,2018-06-22T10:00:01Z,HOME_TEAM,REGULAR,1,0,1,0,,,,,758,Uruguay,801,Saudi Arabia,9374,Clément Turpin,,43883,Nicolas Danos,,43884,Cyril Gringore,,56010,John Pitti,,56011,Gabriel Victoria,,43888,Szymon Marciniak,,43854,Paweł Gil,,43889,Paweł Sokolnicki,,11116,Daniele Orsato,
200009,1,2018-06-14,2018-07-15,3,2018-06-20T18:00:00Z,FINISHED,2.0,GROUP_STAGE,Group B,2018-06-22T10:00:02Z,AWAY_TEAM,REGULAR,0,1,0,0,,,,,840,Iran,760,Spain,29474,Andrés Cunha,,28776,Nicolás Tarán,,28832,Mauricio Espinosa,,23895,Julio Bascuñán,,55659,Christian Schiemann,,49527,Mauro Vigliano,,11412,Wilton Pereira Sampaio,,23046,Alexander Guzmán,,11054,Massimiliano Irrati,
200014,1,2018-06-14,2018-07-15,3,2018-06-21T12:00:00Z,FINISHED,2.0,GROUP_STAGE,Group C,2018-06-22T10:00:02Z,DRAW,REGULAR,1,1,1,1,,,,,782,Denmark,779,Australia,43869,Antonio Matéu,,134,Pau Cebrián,,82,Roberto Díaz,,55964,Bamlak Tessema,,56018,Juan Carlos Mora,,55724,Mark Geiger,,55667,Jair Marrufo,,55725,Joe Fletcher,,11075,Paolo Valeri,
200015,1,2018-06-14,2018-07-15,3,2018-06-21T15:00:00Z,FINISHED,2.0,GROUP_STAGE,Group C,2018-06-22T16:55:00Z,HOME_TEAM,REGULAR,1,0,1,0,,,,,773,France,832,Peru,55973,Mohammed Abdulla Hassan,,55974,Mohamed Ahmed Al Hammadi,,56084,Hasan Mohamed Al Mahri,,56021,Janny Sikazwe,,56022,Jerson dos Santos,,11116,Daniele Orsato,,56026,Abdelrahman Al Jassim,,56027,Taleb Salem Al Marri,,43888,Szymon Marciniak,
